Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
first_day_67a0425b		*Звук будильника*	game/script.rpy	238	"[what]"
first_day_238753fd		*Вздох*	game/script.rpy	248	"[what]"
first_day_b9a7ba1f		Ну что, день первый пошёл...	game/script.rpy	253	"[what]"
first_day_ac2821b7		Как же меня это всё достало: эти бесконечные лабораторные работы, сдачи курсачей...	game/script.rpy	254	"[what]"
first_day_2c72908b		A экзамены так вообще смех какой-то: ты забиваешь на учёбу болт весь семестр, а потом в поте лица пыхтишь без сна над какой-нибудь электротехникой, которая тебе нахрен не сдалась!	game/script.rpy	255	"[what]"
first_day_eb466b0a		Всё бы ничего, но я, конечно, далеко не такого ожидал, когда поступал в универ.	game/script.rpy	256	"[what]"
first_day_db9f6ed6		Эх, как же хочу вернуться в школьные годы, когда ты вечно ищешь способы поднять бабок на алкашку.	game/script.rpy	257	"[what]"
first_day_91144374		Затем идёшь в "проверенный ларёчек" и покупаешь литр водки на литр колы в обычные дни или же литр водки на литр апельсинового сока по праздникам.	game/script.rpy	258	"[what]"
first_day_774ef2cd		Сейчас это звучит ужасно, но в этом явно есть своя романтика подростковых лет...	game/script.rpy	259	"[what]"
first_day_2336c286		А теперь я уже совсем старый стал, – 20 лет ёпте! Сменил вот недавно паспорт, теперь даже над фоткой в нём не поржать.	game/script.rpy	260	"[what]"
first_day_650e975d		Господи, как ссать-то охота...	game/script.rpy	261	"[what]"
first_day_b020e041		*Звук смыва унитаза*	game/script.rpy	270	"[what]"
first_day_a7afc4a2		Когда я иду ранним тихим утром по улице, мне кажется, что в голове у меня нескончаемый каскад мыслей.	game/script.rpy	281	"[what]"
first_day_287b2e3c		"Не слишком ли много я пью в последнее время?"	game/script.rpy	282	"[what]"
first_day_7b96bb0d		Cпрашиваю я себя, и в голове зарождается нотка беспокойства.	game/script.rpy	283	"[what]"
first_day_895a51ac		Я как будто уже и не помню себя трезвым....	game/script.rpy	295	"[what]"
